sta nevicando sulle montagne
si vede la luna
la casa è gialla
la notte è passata
il gallo ha cantato
sono scesi i marziani
oggi mangio la pizza
marco dorme sul prato
io gioco a calcio
l'italia vince i mondiali
il tesoro dei pirati
noi stiamo bene insieme
il papà mi chiama
sento volare le mosche
ascolto la musica rock
le formiche scappano via
voglio una torta bianca
La camicia è blu
accendi il tuo computer
il bar chiude presto
cadono le noci dall'albero
tu sei molto bravo
tu sei molto bella
non credo ai fantasmi
non vedo nessuno qui
mi sembra un fantasma
fa freddo in russia
il mare e' calmo
questo libro mi piace
io gioco a calcio
la nonna è felice
le pile sono scariche
la ballerina fa sognare

